Country,Country code,State,State code,State type,Date,Category,Subcategory,Variable,Unit,Value
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2019,Electricity generation,Fuel,Bioenergy,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2019,Electricity generation,Fuel,Coal,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2019,Electricity generation,Fuel,Gas,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2019,Electricity generation,Fuel,Hydro,%,11.86
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2019,Electricity generation,Fuel,Nuclear,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2019,Electricity generation,Fuel,Other Fossil,%,72.88
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2019,Electricity generation,Fuel,Other Renewables,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2019,Electricity generation,Fuel,Solar,%,15.25
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2019,Electricity generation,Fuel,Wind,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2019,Power sector emissions,Fuel,Bioenergy,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2019,Power sector emissions,Fuel,Coal,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2019,Power sector emissions,Fuel,Gas,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2019,Power sector emissions,Fuel,Hydro,%,0.03
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2019,Power sector emissions,Fuel,Nuclear,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2019,Power sector emissions,Fuel,Other Fossil,%,4.82
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2019,Power sector emissions,Fuel,Other Renewables,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2019,Power sector emissions,Fuel,Solar,%,0.07
India,IND,Andaman and Nicobar,AN,Union territory,01-01-2019,Power sector emissions,Fuel,Wind,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2019,Electricity generation,Fuel,Bioenergy,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2019,Electricity generation,Fuel,Coal,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2019,Electricity generation,Fuel,Gas,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2019,Electricity generation,Fuel,Hydro,%,10.26
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2019,Electricity generation,Fuel,Nuclear,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2019,Electricity generation,Fuel,Other Fossil,%,71.92
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2019,Electricity generation,Fuel,Other Renewables,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2019,Electricity generation,Fuel,Solar,%,17.82
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2019,Electricity generation,Fuel,Wind,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2019,Power sector emissions,Fuel,Bioenergy,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2019,Power sector emissions,Fuel,Coal,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2019,Power sector emissions,Fuel,Gas,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2019,Power sector emissions,Fuel,Hydro,%,0.02
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2019,Power sector emissions,Fuel,Nuclear,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2019,Power sector emissions,Fuel,Other Fossil,%,4.86
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2019,Power sector emissions,Fuel,Other Renewables,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2019,Power sector emissions,Fuel,Solar,%,0.08
India,IND,Andaman and Nicobar,AN,Union territory,01-02-2019,Power sector emissions,Fuel,Wind,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-03-2019,Electricity generation,Fuel,Bioenergy,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-03-2019,Electricity generation,Fuel,Coal,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-03-2019,Electricity generation,Fuel,Gas,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-03-2019,Electricity generation,Fuel,Hydro,%,10.65
India,IND,Andaman and Nicobar,AN,Union territory,01-03-2019,Electricity generation,Fuel,Nuclear,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-03-2019,Electricity generation,Fuel,Other Fossil,%,68.96
India,IND,Andaman and Nicobar,AN,Union territory,01-03-2019,Electricity generation,Fuel,Other Renewables,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-03-2019,Electricity generation,Fuel,Solar,%,20.4
India,IND,Andaman and Nicobar,AN,Union territory,01-03-2019,Electricity generation,Fuel,Wind,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-03-2019,Power sector emissions,Fuel,Bioenergy,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-03-2019,Power sector emissions,Fuel,Coal,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-03-2019,Power sector emissions,Fuel,Gas,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-03-2019,Power sector emissions,Fuel,Hydro,%,0.03
India,IND,Andaman and Nicobar,AN,Union territory,01-03-2019,Power sector emissions,Fuel,Nuclear,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-03-2019,Power sector emissions,Fuel,Other Fossil,%,4.85
India,IND,Andaman and Nicobar,AN,Union territory,01-03-2019,Power sector emissions,Fuel,Other Renewables,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-03-2019,Power sector emissions,Fuel,Solar,%,0.1
India,IND,Andaman and Nicobar,AN,Union territory,01-03-2019,Power sector emissions,Fuel,Wind,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-04-2019,Electricity generation,Fuel,Bioenergy,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-04-2019,Electricity generation,Fuel,Coal,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-04-2019,Electricity generation,Fuel,Gas,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-04-2019,Electricity generation,Fuel,Hydro,%,5.58
India,IND,Andaman and Nicobar,AN,Union territory,01-04-2019,Electricity generation,Fuel,Nuclear,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-04-2019,Electricity generation,Fuel,Other Fossil,%,77.26
India,IND,Andaman and Nicobar,AN,Union territory,01-04-2019,Electricity generation,Fuel,Other Renewables,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-04-2019,Electricity generation,Fuel,Solar,%,17.17
India,IND,Andaman and Nicobar,AN,Union territory,01-04-2019,Electricity generation,Fuel,Wind,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-04-2019,Power sector emissions,Fuel,Bioenergy,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-04-2019,Power sector emissions,Fuel,Coal,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-04-2019,Power sector emissions,Fuel,Gas,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-04-2019,Power sector emissions,Fuel,Hydro,%,0.02
India,IND,Andaman and Nicobar,AN,Union territory,01-04-2019,Power sector emissions,Fuel,Nuclear,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-04-2019,Power sector emissions,Fuel,Other Fossil,%,6.11
India,IND,Andaman and Nicobar,AN,Union territory,01-04-2019,Power sector emissions,Fuel,Other Renewables,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-04-2019,Power sector emissions,Fuel,Solar,%,0.09
India,IND,Andaman and Nicobar,AN,Union territory,01-04-2019,Power sector emissions,Fuel,Wind,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-05-2019,Electricity generation,Fuel,Bioenergy,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-05-2019,Electricity generation,Fuel,Coal,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-05-2019,Electricity generation,Fuel,Gas,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-05-2019,Electricity generation,Fuel,Hydro,%,1.29
India,IND,Andaman and Nicobar,AN,Union territory,01-05-2019,Electricity generation,Fuel,Nuclear,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-05-2019,Electricity generation,Fuel,Other Fossil,%,82.27
India,IND,Andaman and Nicobar,AN,Union territory,01-05-2019,Electricity generation,Fuel,Other Renewables,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-05-2019,Electricity generation,Fuel,Solar,%,16.43
India,IND,Andaman and Nicobar,AN,Union territory,01-05-2019,Electricity generation,Fuel,Wind,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-05-2019,Power sector emissions,Fuel,Bioenergy,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-05-2019,Power sector emissions,Fuel,Coal,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-05-2019,Power sector emissions,Fuel,Gas,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-05-2019,Power sector emissions,Fuel,Hydro,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-05-2019,Power sector emissions,Fuel,Nuclear,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-05-2019,Power sector emissions,Fuel,Other Fossil,%,5.78
India,IND,Andaman and Nicobar,AN,Union territory,01-05-2019,Power sector emissions,Fuel,Other Renewables,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-05-2019,Power sector emissions,Fuel,Solar,%,0.08
India,IND,Andaman and Nicobar,AN,Union territory,01-05-2019,Power sector emissions,Fuel,Wind,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-06-2019,Electricity generation,Fuel,Bioenergy,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-06-2019,Electricity generation,Fuel,Coal,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-06-2019,Electricity generation,Fuel,Gas,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-06-2019,Electricity generation,Fuel,Hydro,%,0.49
India,IND,Andaman and Nicobar,AN,Union territory,01-06-2019,Electricity generation,Fuel,Nuclear,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-06-2019,Electricity generation,Fuel,Other Fossil,%,85.26
India,IND,Andaman and Nicobar,AN,Union territory,01-06-2019,Electricity generation,Fuel,Other Renewables,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-06-2019,Electricity generation,Fuel,Solar,%,14.25
India,IND,Andaman and Nicobar,AN,Union territory,01-06-2019,Electricity generation,Fuel,Wind,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-06-2019,Power sector emissions,Fuel,Bioenergy,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-06-2019,Power sector emissions,Fuel,Coal,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-06-2019,Power sector emissions,Fuel,Gas,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-06-2019,Power sector emissions,Fuel,Hydro,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-06-2019,Power sector emissions,Fuel,Nuclear,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-06-2019,Power sector emissions,Fuel,Other Fossil,%,4.9
India,IND,Andaman and Nicobar,AN,Union territory,01-06-2019,Power sector emissions,Fuel,Other Renewables,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-06-2019,Power sector emissions,Fuel,Solar,%,0.06
India,IND,Andaman and Nicobar,AN,Union territory,01-06-2019,Power sector emissions,Fuel,Wind,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-07-2019,Electricity generation,Fuel,Bioenergy,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-07-2019,Electricity generation,Fuel,Coal,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-07-2019,Electricity generation,Fuel,Gas,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-07-2019,Electricity generation,Fuel,Hydro,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-07-2019,Electricity generation,Fuel,Nuclear,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-07-2019,Electricity generation,Fuel,Other Fossil,%,88.52
India,IND,Andaman and Nicobar,AN,Union territory,01-07-2019,Electricity generation,Fuel,Other Renewables,%,0
India,IND,Andaman and Nicobar,AN,Union territory,01-07-2019,Electricity generation,Fuel,Solar,%,11.48
India,IND,Andaman and Nicobar,AN,Union territory,01-07-2019,Electricity generation,Fuel,Wind,%,0
